Trafikkregistreringspunkt;Navn;Vegreferanse;Fra;Til;Dato;Felt;Trafikkmengde;Dekningsgrad (%);Antall timer total;Antall timer inkludert;Antall timer ugyldig;Ikke gyldig lengde;Lengdekvalitetsgrad (%);< 5,6m;>= 5,6m;5,6m - 7,6m;7,6m - 12,5m;12,5m - 16,0m;>= 16,0m;16,0m - 24,0m;>= 24,0m
30868B1109333;Dramsvegen sykkel;KV7000 S4D1 m394;2022-01-16T00:00+01:00;2022-01-17T00:00+01:00;2022-01-16;Totalt i retning Dramsvegen nord;4;100,0;24;24;0;4;0,00;-;-;-;-;-;-;-;-
30868B1109333;Dramsvegen sykkel;KV7000 S4D1 m394;2022-01-16T00:00+01:00;2022-01-17T00:00+01:00;2022-01-16;Totalt i retning Grønnåsen;4;100,0;24;24;0;4;0,00;-;-;-;-;-;-;-;-
30868B1109333;Dramsvegen sykkel;KV7000 S4D1 m394;2022-01-16T00:00+01:00;2022-01-17T00:00+01:00;2022-01-16;Totalt;8;100,0;24;24;0;8;0,00;-;-;-;-;-;-;-;-
30868B1109333;Dramsvegen sykkel;KV7000 S4D1 m394;2022-01-17T00:00+01:00;2022-01-18T00:00+01:00;2022-01-17;1;1;100,0;24;24;0;1;0,00;-;-;-;-;-;-;-;-
30868B1109333;Dramsvegen sykkel;KV7000 S4D1 m394;2022-01-17T00:00+01:00;2022-01-18T00:00+01:00;2022-01-17;2;9;100,0;24;24;0;9;0,00;-;-;-;-;-;-;-;-
30868B1109333;Dramsvegen sykkel;KV7000 S4D1 m394;2022-01-17T00:00+01:00;2022-01-18T00:00+01:00;2022-01-17;Totalt i retning Dramsvegen nord;9;100,0;24;24;0;9;0,00;-;-;-;-;-;-;-;-
30868B1109333;Dramsvegen sykkel;KV7000 S4D1 m394;2022-01-17T00:00+01:00;2022-01-18T00:00+01:00;2022-01-17;Totalt i retning Grønnåsen;1;100,0;24;24;0;1;0,00;-;-;-;-;-;-;-;-
30868B1109333;Dramsvegen sykkel;KV7000 S4D1 m394;2022-01-17T00:00+01:00;2022-01-18T00:00+01:00;2022-01-17;Totalt;10;100,0;24;24;0;10;0,00;-;-;-;-;-;-;-;-
30868B1109333;Dramsvegen sykkel;KV7000 S4D1 m394;2022-01-18T00:00+01:00;2022-01-19T00:00+01:00;2022-01-18;1;6;100,0;24;24;0;6;0,00;-;-;-;-;-;-;-;-
30868B1109333;Dramsvegen sykkel;KV7000 S4D1 m394;2022-01-18T00:00+01:00;2022-01-19T00:00+01:00;2022-01-18;2;35;100,0;24;24;0;35;0,00;-;-;-;-;-;-;-;-
30868B1109333;Dramsvegen sykkel;KV7000 S4D1 m394;2022-01-18T00:00+01:00;2022-01-19T00:00+01:00;2022-01-18;Totalt i retning Dramsvegen nord;35;100,0;24;24;0;35;0,00;-;-;-;-;-;-;-;-
30868B1109333;Dramsvegen sykkel;KV7000 S4D1 m394;2022-01-18T00:00+01:00;2022-01-19T00:00+01:00;2022-01-18;Totalt i retning Grønnåsen;6;100,0;24;24;0;6;0,00;-;-;-;-;-;-;-;-
30868B1109333;Dramsvegen sykkel;KV7000 S4D1 m394;2022-01-18T00:00+01:00;2022-01-19T00:00+01:00;2022-01-18;Totalt;41;100,0;24;24;0;41;0,00;-;-;-;-;-;-;-;-
30868B1109333;Dramsvegen sykkel;KV7000 S4D1 m394;2022-01-19T00:00+01:00;2022-01-20T00:00+01:00;2022-01-19;1;5;100,0;24;24;0;5;0,00;-;-;-;-;-;-;-;-
30868B1109333;Dramsvegen sykkel;KV7000 S4D1 m394;2022-01-19T00:00+01:00;2022-01-20T00:00+01:00;2022-01-19;2;26;100,0;24;24;0;26;0,00;-;-;-;-;-;-;-;-
30868B1109333;Dramsvegen sykkel;KV7000 S4D1 m394;2022-01-19T00:00+01:00;2022-01-20T00:00+01:00;2022-01-19;Totalt i retning Dramsvegen nord;26;100,0;24;24;0;26;0,00;-;-;-;-;-;-;-;-
